"id_stu","title"," fname_stu","lname_stu"," id_curriculum","GPA_stu","year_class","class","year_stu","password_stu"
"630001","","","","1","2.5","","1","2563","630001"
"630002","","","","1","2.5","","1","2563","630002"
"630003","","","","1","2.5","","1","2563","630003"
"630004","","","","1","2.5","","1","2563","630004"
"630005","","","","2","3","","2","2563","630005"
"630006","","","","1","2.97","","3","2563","630006"
"630007","","","","1","3.4","","1","2563","630007"
"630008","","","","2","3.87","","2","2563","630008"
"630009","","","","2","4","","3","2563","630009"
"630010","","","","1","4","","1","2563","630010"
"630011","","","","2","3.5","","2","2563","630011"
"630012","","","","1","3.6","","3","2563","630012"
"630013","","","","1","3.6","","3","2563","630013"
"630014","","","","2","3.58","","2","2563","630014"
"630015","","","","1","3","","1","2563","630015"
"630016","","","","1","3","","3","2563","630016"
"630017","","","","2","3","","2","2563","630017"
"630018","","","","1","2.78","","1","2563","630018"
"630019","","","","2","3.65","","2","2563","630019"
"630020","","","","1","3.75","","3","2563","630020"
"630021","","","","1","3.75","","1","2563","630021"
"620001","","","","2","3.4","","1","2562","620001"
"620002","","","","1","3.87","","2","2562","620002"
"620003","","","","1","4","","3","2562","620003"
"620004","","","","1","4","","1","2562","620004"
"620005","","","","1","3.5","","2","2562","620005"
"620006","","","","1","3.6","","3","2562","620006"
"620007","","","","1","3.6","","3","2562","620007"
"620008","","","","2","3.58","","2","2562","620008"
"620009","","","","1","3","","1","2562","620009"
"620010","","","","1","3","","3","2562","620010"
"620011","","","","1","3","","2","2562","620011"
"620012","","","","2","2.78","","1","2562","620012"
"620013","","","","2","3.65","","2","2562","620013"
"620014","","","","1","3.75","","3","2562","620014"
"620015","","","","1","3.75","","1","2562","620015"
"620016","","","","1","3.4","","2","2562","620016"
"620017","","","","2","3.41","","3","2562","620017"
"620018","","","","1","3.44","","1","2562","620018"
"620019","","","","1","3.55","","1","2562","620019"
"620020","","","","2","3.64","","2","2562","620020"
"620021","","","","1","3","","3","2562","620021"
"620022","","","","1","3","","2","2562","620022"
"620023","","","","2","4","","3","2562","620023"
"620024","","","","1","4","","3","2562","620024"
"620025","","","","1","3","","1","2562","620025"
"620026","","","","2","3","","2","2562","620026"
"620027","","","","1","3.5","","3","2562","620027"
"620028","","","","2","3.69","","1","2562","620028"
"620029","","","","2","3.4","","2","2562","620029"
"620030","","","","1","4","","3","2562","620030"
"610001","","","","1","2.5","","1","2561","610001"
"610002","","","","2","3","","2","2561","610002"
"610003","","","","1","2.97","","3","2561","610003"
"610004","","","","1","3.4","","1","2561","610004"
"610005","","","","2","3.87","","2","2561","610005"
"610006","","","","2","4","","3","2561","610006"
"610007","","","","1","4","","1","2561","610007"
"610008","","","","2","3.5","","2","2561","610008"
"610009","","","","1","3.6","","3","2561","610009"
"610010","","","","1","3.6","","3","2561","610010"
"610011","","","","2","3.58","","2","2561","610011"
"610012","","","","1","3","","1","2561","610012"
"610013","","","","1","3","","3","2561","610013"
"610014","","","","2","3","","2","2561","610014"
"610015","","","㨵ç","1","2.78","","1","2561","610015"
"610016","","","","1","3.65","","2","2561","610016"
"610017","","","","2","3.75","","3","2561","610017"
"610018","","","","2","3.75","","1","2561","610018"
"610019","","","","1","3.4","","2","2561","610019"
"610020","","","","1","3.41","","3","2561","610020"
"610021","","","","1","3.44","","1","2561","610021"
"610022","","","","2","3.55","","1","2561","610022"
"610023","","","","1","3.64","","2","2561","610023"
"610024","","","","1","3","","3","2561","610024"
"610025","","","","2","3","","2","2561","610025"
"610026","","","","1","4","","3","2561","610026"
"610027","","","","1","4","","3","2561","610027"
"610028","","","","2","2.5","","1","2561","610028"
"610029","","","","1","3","","2","2561","610029"
"610030","","","","2","2.97","","3","2561","610030"
